RLCI_max_Abs NETTO (Bezug- | EIN+);RLCI_average_abs NETTO (Bezug- | EIN+)
-0.000147;-0.000283
-0.000144;-0.000278
0.000892;0.001721
-;-
-0.000001;-0.000003
-0.000138;-0.000266
0.000003;0.000006
-;-
-0.000131;-0.000252
0.000276;0.000533
-0.000921;-0.001778
-0.000781;-0.001508
-;-
-0.000132;-0.000255
-0.000001;-0.000003
0.000285;0.000549
-;-
-;-
0.000291;0.000561
-0.000137;-0.000265
-;-
0.000309;0.000597
-;-
-0.000151;-0.000292
0.000337;0.000651
0.000353;0.000681
-0.000002;-0.000003
-0.000170;-0.000327
-0.000171;-0.000330
0.000364;0.000703
-0.000169;-0.000326
-0.000169;-0.000326
0.000694;0.001340
-0.000156;-0.000301
-;-
-;-
0.000272;0.000524
0.000249;0.000481
-0.000111;-0.000213
0.000213;0.000411
-0.000181;-0.000350
0.000718;0.001386
-0.000078;-0.000151
0.000160;0.000309
0.000149;0.000287
-0.000067;-0.000130
-0.000061;-0.000117
0.000000;0.000000
-;-
-;-
0.000107;0.000207
0.000213;0.000411
-0.000050;-0.000096
0.000211;0.000407
-0.000049;-0.000095
0.000217;0.000419
0.000121;0.000233
-0.000001;-0.000001
0.000003;0.000005
-0.000063;-0.000122
0.027143;0.052378
0.001768;0.003412
0.003370;0.006502
0.002226;0.004296
0.003428;0.006615
0.003213;0.006200
0.002126;0.004103
0.001812;0.003496
0.005905;0.011394
0.003270;0.006310
0.002988;0.005765
0.016837;0.032490
0.030158;0.058195
0.007125;0.013749
0.004548;0.008777
0.006801;0.013123
0.004235;0.008171
0.004833;0.009325
0.005004;0.009656
0.005110;0.009860
0.004793;0.009249
0.004329;0.008354
0.005742;0.011081
0.000482;0.000930
-0.000222;-0.000428
0.000930;0.001795
-0.000215;-0.000415
-;-
-0.000636;-0.001227
0.000877;0.001693
-0.000002;-0.000004
-;-
-0.000184;-0.000354
0.000374;0.000722
0.000370;0.000713
-0.000171;-0.000329
-0.000002;-0.000003
-;-
-0.000150;-0.000290
0.000307;0.000592
-;-
-;-
-;-
-;-
-;-
-;-
-0.000413;-0.000798
-0.000827;-0.001597
-0.000001;-0.000003
-0.000000;-0.000000
-;-
-;-
-;-
0.000003;0.000006
-;-
-;-
-0.000001;-0.000003
-;-
-0.000002;-0.000003
-0.000156;-0.000302
0.000350;0.000675
-0.000002;-0.000003
-0.000171;-0.000330
-0.000002;-0.000003
-0.000170;-0.000329
0.000361;0.000697
-;-
-0.000165;-0.000319
0.000339;0.000654
-;-
-;-
-0.000144;-0.000277
-;-
-0.000126;-0.000244
0.000244;0.000471
-0.000105;-0.000203
0.000202;0.000390
0.000002;0.000004
-0.000082;-0.000159
0.000000;0.000000
-;-
-0.000063;-0.000122
0.000001;0.000002
-;-
-0.000053;-0.000102
-;-
0.008643;0.016678
0.015177;0.029287
0.002596;0.005009
0.001594;0.003075
0.001284;0.002478
0.001638;0.003162
0.006204;0.011971
0.003249;0.006269
0.002602;0.005021
0.002354;0.004543
0.002591;0.005001
0.001772;0.003419
0.002124;0.004098
0.007793;0.015039
0.002116;0.004083
0.002562;0.004944
0.002699;0.005208
0.002724;0.005257
0.003020;0.005828
0.004275;0.008248
0.003321;0.006409
0.003152;0.006083
0.006626;0.012786
0.010609;0.020471
0.296251;0.571667
0.237427;0.458156
0.241189;0.465415
0.064141;0.123772
0.012908;0.024907
0.003544;0.006838
0.005463;0.010541
-;-
-;-
-;-
-0.000181;-0.000348
-;-
-;-
-;-
-;-
-;-
-0.000157;-0.000303
-0.000149;-0.000287
-0.000001;-0.000003
0.000298;0.000576
-0.000131;-0.000254
-;-
-;-
0.000002;0.000005
-;-
-0.000001;-0.000002
-0.000095;-0.000184
-0.000097;-0.000188
-;-
-;-
-;-
0.000229;0.000441
-0.000115;-0.000223
-0.000908;-0.001753
-0.000111;-0.000214
-;-
0.000238;0.000459
-0.000110;-0.000212
0.000236;0.000456
-0.000001;-0.000002
-0.000116;-0.000223
-0.000001;-0.000002
-0.000115;-0.000222
0.000481;0.000928
-;-
-0.000118;-0.000229
-0.000001;-0.000002
-0.000132;-0.000255
0.000290;0.000560
-0.000001;-0.000003
0.000003;0.000006
-0.000137;-0.000265
0.000288;0.000557
-;-
-;-
0.000546;0.001054
0.000003;0.000005
-0.000121;-0.000234
-0.000002;-0.000004
0.000220;0.000425
-0.000100;-0.000193
0.000208;0.000401
-0.000093;-0.000179
-;-
-0.000001;-0.000002
-0.000000;-0.000000
-;-
-0.000075;-0.000145
0.000159;0.000307
0.000000;0.000000
0.000939;0.001812
0.033682;0.064995
0.001082;0.002088
0.003231;0.006234
0.005687;0.010974
0.004961;0.009574
0.005880;0.011347
0.005862;0.011312
0.006758;0.013041
0.006370;0.012292
0.012145;0.023435
0.010756;0.020755
0.007819;0.015087
0.009195;0.017743
0.010022;0.019339
0.011104;0.021428
0.010140;0.019567
0.003023;0.005833
0.009189;0.017732
0.055492;0.107081
0.185944;0.358810
0.182369;0.351912
0.200313;0.386539
0.206339;0.398166
0.204036;0.393722
0.171436;0.330814
0.025062;0.048362
0.010685;0.020618
0.015027;0.028998
0.004633;0.008941
0.005967;0.011514
0.006959;0.013428
0.009579;0.018484
0.000004;0.000008
0.001214;0.002342
-;-
-0.000002;-0.000004
-;-
0.000400;0.000771
0.000004;0.000008
-0.000002;-0.000004
-0.000002;-0.000004
-0.000181;-0.000349
0.000385;0.000742
-0.000178;-0.000344
-0.000002;-0.000003
-0.000002;-0.000003
-0.000168;-0.000324
0.000004;0.000007
-0.000000;-0.000000
-;-
-;-
-0.000163;-0.000314
-;-
-;-
-;-
0.000003;0.000007
-;-
-0.000005;-0.000009
-0.001278;-0.002466
-0.000159;-0.000306
0.000334;0.000644
-0.000156;-0.000300
-0.000002;-0.000003
0.000684;0.001321
-0.000163;-0.000314
-;-
-;-
-0.000170;-0.000328
-;-
-0.000174;-0.000336
0.000372;0.000718
-;-
-0.000000;-0.000000
-;-
-;-
0.000000;0.000000
0.000397;0.000766
-0.000182;-0.000352
-;-
-;-
0.000342;0.000660
0.000003;0.000006
-;-
0.000506;0.000977
-0.000113;-0.000219
0.000212;0.000409
0.000370;0.000714
-;-
0.000278;0.000536
-0.000055;-0.000107
0.000000;0.000000
-0.000042;-0.000081
-;-
-;-
-0.000000;-0.000001
-0.000018;-0.000036
0.009464;0.018263
0.000689;0.001330
0.000403;0.000779
0.000496;0.000958
0.001125;0.002171
0.000580;0.001119
0.000426;0.000822
0.000423;0.000816
0.000432;0.000834
0.000402;0.000776
0.000329;0.000636
0.000306;0.000590
0.000494;0.000954
0.000341;0.000657
0.035040;0.067615
0.068097;0.131405
0.075916;0.146493
0.093115;0.179681
0.112060;0.216239
0.148244;0.286062
0.166057;0.320436
0.189875;0.366396
0.207376;0.400168
0.232748;0.449126
0.254322;0.490758
0.229167;0.442218
0.260746;0.503154
0.204389;0.394403
0.106016;0.204576
0.099453;0.191911
0.153571;0.296342
0.180621;0.348538
0.164244;0.316937
0.116540;0.224885
0.014940;0.028829
0.000396;0.000765
-0.000557;-0.001074
0.001164;0.002245
-;-
0.000378;0.000730
-0.000176;-0.000340
-;-
-0.000003;-0.000006
-0.000002;-0.000003
-0.000161;-0.000310
0.000331;0.000638
-;-
-0.001762;-0.003400
-;-
-0.000142;-0.000275
-0.000144;-0.000277
-;-
-;-
0.000296;0.000572
-;-
-;-
-0.000141;-0.000272
0.000003;0.000006
-;-
-;-
-0.000139;-0.000269
-;-
-0.000141;-0.000273
0.000605;0.001168
-0.000144;-0.000278
-;-
-0.000148;-0.000286
-;-
-;-
0.000338;0.000653
-;-
-;-
-0.000182;-0.000351
-0.000002;-0.000004
-0.000184;-0.000354
-0.000191;-0.000369
-;-
-;-
-;-
-0.000002;-0.000004
0.000401;0.000773
-;-
0.000762;0.001471
0.000735;0.001418
-0.000167;-0.000322
0.000692;0.001335
0.000332;0.000640
-;-
-0.000001;-0.000003
0.000003;0.000006
-;-
-;-
-0.000113;-0.000218
-0.000001;-0.000002
-;-
-;-
-;-
-;-
-;-
-0.000269;-0.000519
0.000181;0.000349
-;-
-0.000076;-0.000147
0.000157;0.000303
-;-
-;-
0.000165;0.000319
-;-
-0.000001;-0.000001
0.000002;0.000003
-0.000001;-0.000002
-;-
-;-
-;-
-;-
0.000217;0.000419
-;-
-0.000113;-0.000219
0.000252;0.000487
0.001068;0.002061
-;-
-;-
-0.000407;-0.000786
0.000601;0.001159
-0.000145;-0.000279
-;-
-0.000293;-0.000565
0.000321;0.000620
0.000628;0.001211
0.000003;0.000006
-0.000003;-0.000006
0.000960;0.001853
-;-
-;-
-;-
-;-
-0.000147;-0.000283
0.000296;0.000572
-0.000403;-0.000779
0.000564;0.001088
0.000003;0.000005
-0.000128;-0.000247
-;-
-0.001237;-0.002388
0.000260;0.000502
-;-
-;-
-0.000120;-0.000232
-;-
0.000251;0.000484
-0.000471;-0.000908
0.000976;0.001883
-;-
-;-
0.000490;0.000945
-0.000001;-0.000002
-0.000110;-0.000213
0.000240;0.000463
-0.000001;-0.000002
-;-
-;-
0.000494;0.000953
-0.000117;-0.000227
-;-
0.000257;0.000496
-0.000126;-0.000244
0.000279;0.000538
-;-
0.000310;0.000598
-0.000147;-0.000284
-;-
0.000322;0.000622
0.000003;0.000006
-0.000154;-0.000297
-0.000002;-0.000003
-0.000147;-0.000284
0.000610;0.001177
-0.000001;-0.000003
-;-
-0.000125;-0.000241
0.001979;0.003819
0.054626;0.105410
0.003287;0.006344
0.002922;0.005638
0.002832;0.005464
0.003192;0.006160
0.135857;0.262159
-0.008333;-0.016080
-0.001407;-0.002716
0.000177;0.000342
0.000509;0.000983
-0.000078;-0.000151
-0.000079;-0.000152
-;-
-;-
-;-
-;-
0.039401;0.076031
-0.000057;-0.000111
-0.000001;-0.000001
-0.000052;-0.000101
-;-
-;-
-;-
-0.000058;-0.000112
0.011475;0.022144
-0.000057;-0.000111
-;-
0.019554;0.037733
0.008838;0.017055
0.000589;0.001136
0.003818;0.007367
0.008735;0.016856
0.005294;0.010215
0.015940;0.030759
0.005457;0.010530
0.002583;0.004984
0.007030;0.013566
0.011495;0.022182
0.005910;0.011405
0.019997;0.038587
0.003775;0.007285
0.001799;0.003472
0.009109;0.017577
0.004216;0.008136
0.009805;0.018921
-0.000154;-0.000297
-;-
0.000324;0.000626
-0.000152;-0.000294
-;-
-;-
-;-
-0.000150;-0.000289
-;-
-0.000141;-0.000273
-;-
0.000287;0.000554
-;-
-0.000133;-0.000256
0.000003;0.000005
-;-
-;-
-0.000125;-0.000242
-;-
-0.000125;-0.000242
0.000265;0.000512
-;-
-0.000121;-0.000233
0.000258;0.000497
-0.000123;-0.000237
-;-
-;-
-0.000121;-0.000234
-;-
0.000269;0.000519
0.000263;0.000507
0.000270;0.000521
-0.000256;-0.000495
-;-
-;-
-0.000138;-0.000266
0.000302;0.000582
-0.000150;-0.000290
0.000330;0.000636
-0.000159;-0.000307
-0.000162;-0.000312
0.000350;0.000675
0.000352;0.000680
0.000347;0.000670
-;-
0.000318;0.000613
-;-
-;-
0.000282;0.000545
-0.000123;-0.000237
0.000002;0.000005
0.000478;0.000923
-0.000108;-0.000209
-;-
-;-
0.000207;0.000400
-0.000284;-0.000547
0.000570;0.001100
0.000002;0.000004
0.000190;0.000368
-0.000078;-0.000150
0.034779;0.067111
0.002468;0.004763
0.001709;0.003298
0.002794;0.005391
0.002418;0.004667
0.002399;0.004630
0.004923;0.009499
0.002751;0.005309
0.005761;0.011116
0.018315;0.035342
0.034431;0.066441
0.007296;0.014079
0.001757;0.003391
0.001562;0.003014
0.001199;0.002314
0.002101;0.004055
0.003995;0.007709
0.003439;0.006637
0.038178;0.073671
0.031603;0.060984
0.013491;0.026034
0.018281;0.035276
0.023840;0.046003
0.009390;0.018120
0.002331;0.004498
0.004399;0.008489
0.004071;0.007856
0.013188;0.025448
0.028462;0.054923
0.068852;0.132862
0.096728;0.186654
0.087902;0.169622
0.044444;0.085761
0.010464;0.020192
0.009802;0.018915
0.001236;0.002385
-0.000777;-0.001499
0.000409;0.000789
-0.000785;-0.001514
0.000418;0.000807
0.000008;0.000016
-0.000190;-0.000367
-0.000004;-0.000007
-0.000554;-0.001069
0.000755;0.001458
0.000004;0.000007
-0.000174;-0.000336
-0.000342;-0.000660
0.000353;0.000681
-0.000166;-0.000320
-;-
-0.000327;-0.000631
-;-
0.000342;0.000661
-0.000320;-0.000617
-0.000476;-0.000919
-0.000002;-0.000003
-0.000156;-0.000300
0.000664;0.001282
0.000003;0.000007
-0.000320;-0.000617
-0.000320;-0.000618
-0.000002;-0.000003
-0.000159;-0.000307
0.000687;0.001325
-0.000327;-0.000630
-0.000003;-0.000006
-0.000672;-0.001296
-0.000513;-0.000990
0.000730;0.001409
-0.000004;-0.000007
-0.000002;-0.000003
-0.000374;-0.000722
-0.000189;-0.000365
-0.000002;-0.000004
-0.000766;-0.001478
0.001216;0.002347
-0.000567;-0.001094
-0.000183;-0.000353
0.009624;0.018571
0.004079;0.007871
0.002829;0.005460
0.007796;0.015043
0.006948;0.013408
0.006205;0.011974
0.003955;0.007632
0.005120;0.009881
0.003788;0.007310
0.002959;0.005710
0.002757;0.005320
0.002289;0.004417
0.002568;0.004955
0.003938;0.007599
0.001615;0.003117
0.003346;0.006457
0.003510;0.006773
0.001134;0.002187
0.004728;0.009124
0.016680;0.032187
-0.000097;-0.000188
0.002530;0.004882
0.003056;0.005896
0.004009;0.007735
0.007780;0.015013
0.017167;0.033126
0.019915;0.038429
0.017619;0.033999
0.014198;0.027397
0.013268;0.025602
0.002644;0.005102
0.018918;0.036505
0.000037;0.000071
0.024918;0.048083
0.027826;0.053695
0.009811;0.018931
-0.000331;-0.000639
-0.001089;-0.002101
0.043036;0.083045
0.009399;0.018136
0.004016;0.007750
-0.002956;-0.005704
0.013783;0.026597
0.003733;0.007203
0.002641;0.005096
0.004909;0.009472
0.111400;0.214965
0.159470;0.307725
0.119136;0.229893
0.082294;0.158801
0.006971;0.013451
0.003330;0.006425
0.003317;0.006402
-0.000598;-0.001154
0.000844;0.001629
0.001256;0.002423
-0.000392;-0.000756
-0.000199;-0.000385
0.000819;0.001581
-0.000570;-0.001100
-0.000929;-0.001792
0.000758;0.001462
-0.000524;-0.001011
0.000004;0.000007
0.000355;0.000684
-;-
0.000346;0.000668
-0.000003;-0.000006
-0.000632;-0.001220
-0.000158;-0.000305
0.000327;0.000630
-0.000307;-0.000593
-0.000608;-0.001174
0.000638;0.001232
-0.000151;-0.000292
0.001596;0.003080
0.000320;0.000617
-0.000602;-0.001161
0.000952;0.001838
-0.000150;-0.000290
0.000003;0.000006
-0.000302;-0.000582
0.000642;0.001239
-0.000304;-0.000586
0.000654;0.001261
-0.000159;-0.000306
-0.000639;-0.001233
-0.000480;-0.000926
-0.000653;-0.001260
-0.000174;-0.000336
-0.000353;-0.000681
0.001509;0.002913
-0.000899;-0.001735
0.001163;0.002245
-0.000009;-0.000018
-0.000722;-0.001393
0.000000;0.000000
0.001131;0.002182
0.000723;0.001395
-0.001138;-0.002196
0.007871;0.015189
0.006885;0.013285
0.004811;0.009284
0.003030;0.005846
0.004090;0.007892
0.058493;0.112871
0.003353;0.006470
0.002756;0.005318
0.002477;0.004780
0.003806;0.007344
0.001420;0.002740
0.000819;0.001581
0.002300;0.004439
0.002117;0.004085
0.001690;0.003261
0.001354;0.002612
0.010867;0.020971
0.000664;0.001281
0.001040;0.002007
0.003027;0.005842
0.000870;0.001679
0.000872;0.001682
0.000861;0.001662
0.000853;0.001645
0.000731;0.001411
0.000898;0.001733
0.000929;0.001792
0.056444;0.108919
0.081365;0.157008
0.083088;0.160332
0.002017;0.003893
0.000793;0.001530
0.001132;0.002184
0.129029;0.248983
0.168640;0.325419
0.183822;0.354717
0.194088;0.374526
0.205840;0.397203
0.212752;0.410541
0.225574;0.435284
0.223647;0.431565
0.223918;0.432088
0.216255;0.417300
0.084554;0.163161
0.060742;0.117211
0.041301;0.079697
0.128211;0.247405
0.085364;0.164723
0.027137;0.052366
-0.000002;-0.000003
-0.000465;-0.000897
-0.000469;-0.000906
0.000335;0.000647
-0.001404;-0.002708
0.001297;0.002502
0.000662;0.001278
-0.001483;-0.002861
0.004271;0.008241
0.000606;0.001169
-0.001141;-0.002202
-0.001686;-0.003253
-0.000168;-0.000324
0.000354;0.000683
-0.000668;-0.001288
0.000353;0.000682
-;-
-;-
0.000003;0.000007
0.001682;0.003246
0.001331;0.002568
-;-
0.001008;0.001945
-0.000003;-0.000006
-0.000784;-0.001514
0.000993;0.001916
0.000664;0.001281
-0.000467;-0.000900
-0.000311;-0.000600
0.000996;0.001922
-0.000313;-0.000604
0.000993;0.001916
0.001019;0.001967
-0.000639;-0.001232
0.000007;0.000013
-0.000163;-0.000315
0.000733;0.001414
-;-
0.000762;0.001471
-0.000352;-0.000680
0.002261;0.004363
-0.000711;-0.001372
-0.000894;-0.001725
-0.000355;-0.000685
-0.000694;-0.001338
0.001088;0.002099
0.000715;0.001379
-0.000159;-0.000307
0.001593;0.003074
-0.001740;-0.003357
0.003263;0.006297
-;-
-0.000254;-0.000489
0.001036;0.001999
0.000763;0.001472
0.003515;0.006783
0.002740;0.005287
0.003480;0.006716
0.004983;0.009615
0.005317;0.010261
0.003429;0.006618
-0.000110;-0.000212
0.001557;0.003004
-0.000740;-0.001427
-0.000838;-0.001616
0.009802;0.018914
-0.002520;-0.004863
-0.001326;-0.002558
-0.000898;-0.001733
0.003087;0.005957
0.032299;0.062326
0.013481;0.026013
0.021522;0.041530
0.016956;0.032720
-0.009420;-0.018177
0.046790;0.090288
0.000612;0.001181
0.002327;0.004490
0.009202;0.017757
0.010412;0.020092
0.003130;0.006039
0.002610;0.005036
0.187424;0.361667
0.272805;0.526423
0.308447;0.595201
0.299069;0.577105
0.277573;0.535624
0.277919;0.536293
0.249577;0.481602
0.016428;0.031702
-0.000198;-0.000383
0.000868;0.001675
0.042449;0.081913
0.003424;0.006608
-0.000205;-0.000397
0.001740;0.003357
0.001289;0.002488
-0.000615;-0.001186
0.001310;0.002528
-0.000617;-0.001190
-0.000203;-0.000392
0.000854;0.001649
0.000426;0.000822
0.001633;0.003151
-0.000189;-0.000366
-0.000554;-0.001069
0.000386;0.000745
-0.000358;-0.000691
-0.000004;-0.000007
0.000004;0.000007
0.001086;0.002095
-;-
-0.000486;-0.000938
-0.000478;-0.000922
-0.000158;-0.000306
-0.000311;-0.000601
-0.000002;-0.000003
0.000003;0.000006
0.000623;0.001202
-0.000294;-0.000568
-0.000435;-0.000839
0.000006;0.000012
0.000910;0.001757
0.001191;0.002298
-0.000144;-0.000278
-0.000140;-0.000270
-0.000278;-0.000536
-;-
-;-
-0.000141;-0.000273
-0.001140;-0.002200
0.009521;0.018373
0.007349;0.014182
-0.003691;-0.007123
0.002939;0.005672
-0.000153;-0.000295
0.001348;0.002600
-;-
0.001034;0.001996
0.004425;0.008538
0.003950;0.007623
0.008037;0.015509
0.004695;0.009060
0.002115;0.004081
0.003938;0.007600
0.003444;0.006646
0.005108;0.009857
0.001936;0.003736
0.031709;0.061187
0.002633;0.005081
0.001066;0.002056
0.000828;0.001598
0.009258;0.017865
-0.000173;-0.000334
0.001252;0.002416
0.001196;0.002307
0.002152;0.004152
-0.000843;-0.001628
0.002655;0.005123
0.005788;0.011169
0.002182;0.004210
-0.001031;-0.001990
0.014665;0.028299
0.004856;0.009370
0.001815;0.003502
-0.000391;-0.000755
0.001967;0.003796
0.002342;0.004519
0.004248;0.008197
0.004428;0.008544
0.011193;0.021598
0.001817;0.003506
0.004559;0.008797
0.003124;0.006028
0.002963;0.005717
0.000667;0.001287
0.001992;0.003844
0.001751;0.003379
0.001521;0.002935
0.000220;0.000425
-0.001413;-0.002726
0.007820;0.015091
-0.000958;-0.001849
-0.001890;-0.003647
-0.001098;-0.002119
0.000325;0.000626
0.004366;0.008424
-0.000183;-0.000353
-0.001078;-0.002081
-0.000559;-0.001079
-0.000378;-0.000730
-0.000382;-0.000738
0.000403;0.000778
-0.000002;-0.000004
0.000004;0.000008
0.001209;0.002333
-0.001479;-0.002855
0.003479;0.006714
-0.000532;-0.001027
0.001870;0.003608
-0.000172;-0.000332
0.001753;0.003382
-0.001138;-0.002197
0.004116;0.007943
0.000335;0.000647
-0.000156;-0.000302
0.000653;0.001260
-0.000152;-0.000292
0.000946;0.001826
-0.000148;-0.000286
-0.000288;-0.000555
-0.000001;-0.000003
-0.000557;-0.001075
-0.000275;-0.000530
-0.000137;-0.000264
0.000574;0.001108
-0.000270;-0.000521
0.001694;0.003270
0.000562;0.001085
-0.000128;-0.000246
-0.000001;-0.000002
-0.000385;-0.000744
0.000277;0.000535
0.001108;0.002138
-0.000543;-0.001048
-0.000135;-0.000260
0.000891;0.001719
-0.001446;-0.002790
0.003854;0.007438
-0.000169;-0.000326
-0.009347;-0.018037
-0.003199;-0.006173
-0.001151;-0.002222
-0.002783;-0.005371
-0.000981;-0.001893
0.005991;0.011562
0.005533;0.010676
0.005208;0.010051
0.002084;0.004022
0.001267;0.002444
-0.040906;-0.078935
-0.062656;-0.120904
-0.016973;-0.032752
-0.013046;-0.025175
0.001724;0.003326
-0.000659;-0.001272
0.005188;0.010010
0.003374;0.006510
0.003856;0.007440
0.004451;0.008589
0.001381;0.002665
0.003531;0.006813
0.003166;0.006108
0.001568;0.003026
0.001477;0.002850
0.002789;0.005382
0.004839;0.009337
0.001063;0.002052
0.000527;0.001016
0.001293;0.002495
0.001564;0.003019
0.002403;0.004637
0.003025;0.005837
0.002273;0.004385
0.024654;0.047574
0.002109;0.004070
0.001173;0.002263
0.002670;0.005152
0.002081;0.004016
0.004052;0.007818
0.002566;0.004951
0.005057;0.009759
0.002641;0.005095
0.002545;0.004910
0.003351;0.006466
0.002786;0.005376
0.004363;0.008420
-0.000425;-0.000821
0.013194;0.025460
0.024018;0.046348
0.035199;0.067923
-0.001335;-0.002577
0.001810;0.003492
0.000370;0.000714
0.000376;0.000725
0.001152;0.002222
0.000389;0.000750
-0.000187;-0.000360
-0.000185;-0.000358
-0.000545;-0.001052
-0.000906;-0.001748
0.000763;0.001472
-0.000519;-0.001001
0.000358;0.000691
0.000358;0.000690
-0.000326;-0.000630
0.000331;0.000639
0.000655;0.001264
0.001262;0.002435
-0.000290;-0.000559
0.000888;0.001714
-0.000550;-0.001060
-0.000545;-0.001051
